X,Y,record_id,record_status_date,parcel_id,lon,lat,ObjectId,address_id,street_num,street_dir,street_name
-83.180994,42.354162,ANN2004-06639,2021/04/19 00:00:00+00,22001936.001,-83.180994,42.354162,201,216093,8211,,DECATUR
-83.223765,42.343498,ANN2004-06647,2019/05/20 00:00:00+00,22000687.,-83.223765,42.343498,202,213877,18728,W,WARREN
-83.081548,42.325576,ANN2004-06659,2022/04/19 00:00:00+00,12007595-603,-83.081548,42.325576,203,241437,1759,,20TH
-83.218726,42.366967,ANN2004-06670,2022/04/14 00:00:00+00,22068346-7,-83.218726,42.366967,204,215538,18235,,WEAVER
-83.160039,42.403605,ANN2004-06685,2019/07/03 00:00:00+00,16038436-57,-83.160039,42.403605,205,94860,15365,,WYOMING
-83.08838,42.322888,ANN2004-06687,2019/07/01 00:00:00+00,12000286.,-83.08838,42.322888,206,241478,3627,W,VERNOR
-83.220974,42.368722,ANN2004-06699,2019/08/02 00:00:00+00,22068328.,-83.220974,42.368722,207,538557,18361,,WEAVER
-83.14941,42.36113,ANN2004-06717,2019/05/16 00:00:00+00,18014147.001,-83.14941,42.36113,208,216224,9000,,ROSELAWN
-83.051085,42.371938,ANN2004-06725,2022/03/10 00:00:00+00,09005137.,-83.051085,42.371938,209,261672,1950,,MEDBURY
-83.176677,42.379797,ANN2004-06735,2019/10/11 00:00:00+00,22006553.001,-83.176677,42.379797,210,222216,13330,,FOLEY
-83.221402,42.369061,ANN2004-06737,2019/08/02 00:00:00+00,22068323.,-83.221402,42.369061,211,215544,18401,,WEAVER
-83.177198,42.379671,ANN2004-06740,2022/10/26 00:00:00+00,22006552.,-83.177198,42.379671,212,222214,13500,,FOLEY
-83.141543,42.443906,ANN2004-06744,2019/06/07 00:00:00+00,02004511-8,-83.141543,42.443906,213,112074,20400,,LIVERNOIS
